Time used: 105.11999988555908, Time in circle: 0
Time used: 105.67000007629395, Time in circle: 0
Time used: 106.19000005722046, Time in circle: 0
Time used: 106.75, Time in circle: 0
Time used: 107.29999995231628, Time in circle: 0
Time used: 107.84999990463257, Time in circle: 0
Time used: 108.42000007629395, Time in circle: 0
Time used: 108.98000001907349, Time in circle: 0
Time used: 109.49000000953674, Time in circle: 0
Time used: 110.01999998092651, Time in circle: 0
Time used: 110.54999995231628, Time in circle: 0
Time used: 111.07999992370605, Time in circle: 0
Time used: 111.61999988555908, Time in circle: 0
Time used: 112.17000007629395, Time in circle: 0
Time used: 112.6800000667572, Time in circle: 0
Time used: 113.22000002861023, Time in circle: 0
Time used: 113.72000002861023, Time in circle: 0
Time used: 114.24000000953674, Time in circle: 0
Time used: 114.79999995231628, Time in circle: 0
Time used: 115.34999990463257, Time in circle: 0
Time used: 115.90000009536743, Time in circle: 0
Time used: 116.45000004768372, Time in circle: 0
Time used: 116.96000003814697, Time in circle: 0
Time used: 117.5, Time in circle: 0
Time used: 118.05999994277954, Time in circle: 0
Time used: 118.60999989509583, Time in circle: 0
Time used: 119.16000008583069, Time in circle: 0
Time used: 119.74000000953674, Time in circle: 0
Time used: 120.25999999046326, Time in circle: 0
Time used: 120.8199999332428, Time in circle: 0
Time used: 121.44000005722046, Time in circle: 0
Time used: 122.0, Time in circle: 0
Time used: 122.61999988555908, Time in circle: 0
Time used: 123.1800000667572, Time in circle: 0
Time used: 123.66000008583069, Time in circle: 0
Time used: 124.19000005722046, Time in circle: 0
Time used: 124.72000002861023, Time in circle: 0
Time used: 125.27999997138977, Time in circle: 0
Time used: 125.79999995231628, Time in circle: 0
Time used: 126.34999990463257, Time in circle: 0
Time used: 126.86999988555908, Time in circle: 0
Time used: 127.37999987602234, Time in circle: 0
Time used: 127.90000009536743, Time in circle: 0
Time used: 128.45000004768372, Time in circle: 0
Time used: 129.00999999046326, Time in circle: 0
Time used: 129.53999996185303, Time in circle: 0
Time used: 130.0699999332428, Time in circle: 0
Time used: 130.65000009536743, Time in circle: 0
Time used: 131.21000003814697, Time in circle: 0
Time used: 131.78999996185303, Time in circle: 0
Time used: 132.35999989509583, Time in circle: 0
Time used: 132.90000009536743, Time in circle: 0
Time used: 133.45000004768372, Time in circle: 0
Time used: 133.95000004768372, Time in circle: 0
Time used: 134.44000005722046, Time in circle: 0
Time used: 134.9300000667572, Time in circle: 0
Time used: 135.4100000858307, Time in circle: 0
Time used: 135.90000009536743, Time in circle: 0
Time used: 136.37999987602234, Time in circle: 0
Time used: 136.86999988555908, Time in circle: 0
Time used: 137.32999992370605, Time in circle: 0
Time used: 137.80999994277954, Time in circle: 0
Time used: 138.3199999332428, Time in circle: 0
Time used: 138.8199999332428, Time in circle: 0
Time used: 139.29999995231628, Time in circle: 0
Time used: 139.78999996185303, Time in circle: 0
Time used: 140.25999999046326, Time in circle: 0
Time used: 140.75, Time in circle: 0
Time used: 141.25999999046326, Time in circle: 0
Time used: 141.75, Time in circle: 0
Time used: 142.24000000953674, Time in circle: 0
Time used: 142.70000004768372, Time in circle: 0
Time used: 143.1600000858307, Time in circle: 0
Time used: 143.6600000858307, Time in circle: 0
Time used: 144.1399998664856, Time in circle: 0
Time used: 144.67000007629395, Time in circle: 0
Time used: 145.17000007629395, Time in circle: 0
Time used: 145.65000009536743, Time in circle: 0
Time used: 146.15000009536743, Time in circle: 0
Time used: 146.6399998664856, Time in circle: 0
Time used: 147.12999987602234, Time in circle: 0
Time used: 147.62999987602234, Time in circle: 0
Time used: 148.1399998664856, Time in circle: 0
Time used: 148.61999988555908, Time in circle: 0
Time used: 149.1399998664856, Time in circle: 0
Time used: 149.61999988555908, Time in circle: 0
Time used: 150.09999990463257, Time in circle: 0
Time used: 150.59999990463257, Time in circle: 0
Time used: 151.11999988555908, Time in circle: 0
Time used: 151.60999989509583, Time in circle: 0
Time used: 152.07999992370605, Time in circle: 0
Time used: 152.57999992370605, Time in circle: 0
Time used: 153.07999992370605, Time in circle: 0
Time used: 153.57999992370605, Time in circle: 0
Time used: 154.07999992370605, Time in circle: 0
Time used: 154.59999990463257, Time in circle: 0
Time used: 155.09999990463257, Time in circle: 0
Time used: 155.55999994277954, Time in circle: 0
Time used: 156.0699999332428, Time in circle: 0
Time used: 156.55999994277954, Time in circle: 0
Time used: 157.04999995231628, Time in circle: 0
Time used: 157.52999997138977, Time in circle: 0
Time used: 158.02999997138977, Time in circle: 0
Time used: 158.5, Time in circle: 0
Time used: 158.99000000953674, Time in circle: 0
Time used: 159.4800000190735, Time in circle: 0
Time used: 159.9800000190735, Time in circle: 0
Time used: 160.44000005722046, Time in circle: 0
Time used: 160.9100000858307, Time in circle: 0
Time used: 161.3899998664856, Time in circle: 0
Time used: 161.86999988555908, Time in circle: 0
Time used: 162.37999987602234, Time in circle: 0
Time used: 162.85999989509583, Time in circle: 0
Time used: 163.34999990463257, Time in circle: 0
Time used: 163.8199999332428, Time in circle: 0
Time used: 164.30999994277954, Time in circle: 0
Time used: 164.79999995231628, Time in circle: 0
Time used: 165.29999995231628, Time in circle: 0
Time used: 165.77999997138977, Time in circle: 0
Time used: 166.27999997138977, Time in circle: 0
Time used: 166.75999999046326, Time in circle: 0
Time used: 167.25, Time in circle: 0
Time used: 167.75999999046326, Time in circle: 0
Time used: 168.25, Time in circle: 0
Time used: 168.74000000953674, Time in circle: 0
Time used: 169.24000000953674, Time in circle: 0
Time used: 169.7300000190735, Time in circle: 0
Time used: 170.20000004768372, Time in circle: 0
Time used: 170.69000005722046, Time in circle: 0
Time used: 171.17000007629395, Time in circle: 0
Time used: 171.6600000858307, Time in circle: 0
Time used: 172.1600000858307, Time in circle: 0
Time used: 172.6600000858307, Time in circle: 0
Time used: 173.1600000858307, Time in circle: 0
Time used: 173.6399998664856, Time in circle: 0
Time used: 174.12999987602234, Time in circle: 0
Time used: 174.61999988555908, Time in circle: 0
Time used: 175.11999988555908, Time in circle: 0
Time used: 175.61999988555908, Time in circle: 0
Time used: 176.1399998664856, Time in circle: 0
Time used: 176.61999988555908, Time in circle: 0
Time used: 177.10999989509583, Time in circle: 0
Time used: 177.60999989509583, Time in circle: 0
Time used: 178.10999989509583, Time in circle: 0
Time used: 178.5899999141693, Time in circle: 0
Time used: 179.0899999141693, Time in circle: 0
Time used: 179.5699999332428, Time in circle: 0
Time used: 180.0699999332428, Time in circle: 0
Time used: 180.55999994277954, Time in circle: 0
Time used: 181.0699999332428, Time in circle: 0
Time used: 181.55999994277954, Time in circle: 0
Time used: 182.04999995231628, Time in circle: 0
Time used: 182.5199999809265, Time in circle: 0
Time used: 183.0199999809265, Time in circle: 0
Time used: 183.52999997138977, Time in circle: 0
Time used: 184.02999997138977, Time in circle: 0
Time used: 184.55999994277954, Time in circle: 0
Time used: 185.07999992370605, Time in circle: 0
Time used: 185.57999992370605, Time in circle: 0
Time used: 186.0899999141693, Time in circle: 0
Time used: 186.55999994277954, Time in circle: 0
Time used: 187.03999996185303, Time in circle: 0
Time used: 187.55999994277954, Time in circle: 0
Time used: 188.05999994277954, Time in circle: 0
Time used: 188.54999995231628, Time in circle: 0
Time used: 189.03999996185303, Time in circle: 0
Time used: 189.52999997138977, Time in circle: 0
Time used: 190.03999996185303, Time in circle: 0
Time used: 190.53999996185303, Time in circle: 0
Time used: 191.03999996185303, Time in circle: 0
Time used: 191.57999992370605, Time in circle: 0
Time used: 192.07999992370605, Time in circle: 0
Time used: 192.5899999141693, Time in circle: 0
Time used: 193.0699999332428, Time in circle: 0
Time used: 193.55999994277954, Time in circle: 0
Time used: 194.05999994277954, Time in circle: 0
Time used: 194.55999994277954, Time in circle: 0
Time used: 195.03999996185303, Time in circle: 0
Time used: 195.53999996185303, Time in circle: 0
Time used: 196.02999997138977, Time in circle: 0
Time used: 196.50999999046326, Time in circle: 0
Time used: 197.00999999046326, Time in circle: 0
Time used: 197.50999999046326, Time in circle: 0
Time used: 198.0, Time in circle: 0
Time used: 198.49000000953674, Time in circle: 0
Time used: 198.9800000190735, Time in circle: 0
Time used: 199.4800000190735, Time in circle: 0
Time used: 199.99000000953674, Time in circle: 0
Time used: 200.5, Time in circle: 0
Time used: 200.99000000953674, Time in circle: 0
Time used: 201.5, Time in circle: 0
Time used: 201.9800000190735, Time in circle: 0
Time used: 202.47000002861023, Time in circle: 0
Time used: 202.97000002861023, Time in circle: 0
Time used: 203.46000003814697, Time in circle: 0
Time used: 203.95000004768372, Time in circle: 0
Time used: 204.4800000190735, Time in circle: 0
Time used: 204.95000004768372, Time in circle: 0
Time used: 205.4300000667572, Time in circle: 0
Time used: 205.9300000667572, Time in circle: 0
Time used: 206.45000004768372, Time in circle: 0
Time used: 206.95000004768372, Time in circle: 0
Time used: 207.44000005722046, Time in circle: 0
Time used: 207.92000007629395, Time in circle: 0
Time used: 208.40000009536743, Time in circle: 0
Time used: 208.8899998664856, Time in circle: 0
Time used: 209.37999987602234, Time in circle: 0
Time used: 209.90000009536743, Time in circle: 0
Time used: 210.36999988555908, Time in circle: 0
Time used: 210.8399999141693, Time in circle: 0
Time used: 211.3399999141693, Time in circle: 0
Time used: 211.8199999332428, Time in circle: 0
Time used: 212.32999992370605, Time in circle: 0
Time used: 212.8399999141693, Time in circle: 0
Time used: 213.32999992370605, Time in circle: 0
Time used: 213.8399999141693, Time in circle: 0
Time used: 214.3199999332428, Time in circle: 0
Time used: 214.80999994277954, Time in circle: 0
Time used: 215.3199999332428, Time in circle: 0
Time used: 215.8199999332428, Time in circle: 0
Time used: 216.3199999332428, Time in circle: 0
Time used: 216.82999992370605, Time in circle: 0
Time used: 217.34999990463257, Time in circle: 0
Time used: 217.8199999332428, Time in circle: 0
Time used: 218.30999994277954, Time in circle: 0
Time used: 218.80999994277954, Time in circle: 0
Time used: 219.30999994277954, Time in circle: 0
Time used: 219.8199999332428, Time in circle: 0
Time used: 220.3199999332428, Time in circle: 0
Time used: 0.8799998760223389, Time in circle: 0
Time used: 1.5099999904632568, Time in circle: 0
Time used: 2.200000047683716, Time in circle: 0
Time used: 2.8499999046325684, Time in circle: 0
Time used: 3.5, Time in circle: 0
Time used: 4.150000095367432, Time in circle: 0
Time used: 4.799999952316284, Time in circle: 0
Time used: 5.430000066757202, Time in circle: 0
Time used: 6.069999933242798, Time in circle: 0
Time used: 6.690000057220459, Time in circle: 0
Time used: 7.329999923706055, Time in circle: 0
Time used: 7.980000019073486, Time in circle: 0
Time used: 8.629999876022339, Time in circle: 0
Time used: 9.259999990463257, Time in circle: 0
Time used: 9.900000095367432, Time in circle: 0
Time used: 10.539999961853027, Time in circle: 0
Time used: 11.190000057220459, Time in circle: 0
Time used: 11.859999895095825, Time in circle: 0
Time used: 12.519999980926514, Time in circle: 0
Time used: 13.150000095367432, Time in circle: 0
Time used: 13.809999942779541, Time in circle: 0
Time used: 14.450000047683716, Time in circle: 0
Time used: 15.089999914169312, Time in circle: 0
Time used: 15.72000002861023, Time in circle: 0
Time used: 16.369999885559082, Time in circle: 0
Time used: 17.019999980926514, Time in circle: 0
Time used: 17.640000104904175, Time in circle: 0
Time used: 18.27999997138977, Time in circle: 0
Time used: 18.87999987602234, Time in circle: 0
Time used: 19.5, Time in circle: 0
Time used: 20.119999885559082, Time in circle: 0
Time used: 20.759999990463257, Time in circle: 0
Time used: 21.41000008583069, Time in circle: 0
Time used: 22.049999952316284, Time in circle: 0
Time used: 22.700000047683716, Time in circle: 0
Time used: 23.359999895095825, Time in circle: 0
Time used: 23.990000009536743, Time in circle: 0
Time used: 24.619999885559082, Time in circle: 0
Time used: 25.25, Time in circle: 0
Time used: 25.91000008583069, Time in circle: 0
Time used: 26.539999961853027, Time in circle: 0
Time used: 27.16000008583069, Time in circle: 0
Time used: 27.77999997138977, Time in circle: 0
Time used: 28.41000008583069, Time in circle: 0
Time used: 29.02999997138977, Time in circle: 0
Time used: 29.66000008583069, Time in circle: 0
Time used: 30.319999933242798, Time in circle: 0
Time used: 30.94000005722046, Time in circle: 0
Time used: 31.569999933242798, Time in circle: 0
Time used: 32.21000003814697, Time in circle: 0
Time used: 32.859999895095825, Time in circle: 0
Time used: 33.480000019073486, Time in circle: 0
Time used: 34.12999987602234, Time in circle: 0
Time used: 34.769999980926514, Time in circle: 0
Time used: 35.41000008583069, Time in circle: 0
Time used: 36.049999952316284, Time in circle: 0
Time used: 36.72000002861023, Time in circle: 0
Time used: 37.34999990463257, Time in circle: 0
Time used: 37.980000019073486, Time in circle: 0
Time used: 38.62999987602234, Time in circle: 0
Time used: 39.28999996185303, Time in circle: 0
Time used: 39.920000076293945, Time in circle: 0
Time used: 40.53999996185303, Time in circle: 0
Time used: 41.19000005722046, Time in circle: 0
Time used: 41.77999997138977, Time in circle: 0
Time used: 42.420000076293945, Time in circle: 0
Time used: 43.05999994277954, Time in circle: 0
Time used: 43.6800000667572, Time in circle: 0
Time used: 44.299999952316284, Time in circle: 0
Time used: 44.94000005722046, Time in circle: 0
Time used: 45.5699999332428, Time in circle: 0
Time used: 46.19000005722046, Time in circle: 0
Time used: 46.83999991416931, Time in circle: 0
Time used: 47.450000047683716, Time in circle: 0
Time used: 48.08999991416931, Time in circle: 0
Time used: 48.75, Time in circle: 0
Time used: 49.36999988555908, Time in circle: 0
Time used: 50.019999980926514, Time in circle: 0
Time used: 50.62999987602234, Time in circle: 0
Time used: 51.28999996185303, Time in circle: 0
Time used: 51.94000005722046, Time in circle: 0
Time used: 52.5699999332428, Time in circle: 0
Time used: 53.19000005722046, Time in circle: 0
Time used: 53.83999991416931, Time in circle: 0
Time used: 54.47000002861023, Time in circle: 0
Time used: 55.09999990463257, Time in circle: 0
Time used: 55.75, Time in circle: 0
Time used: 56.41000008583069, Time in circle: 0
Time used: 57.049999952316284, Time in circle: 0
Time used: 57.71000003814697, Time in circle: 0
Time used: 58.329999923706055, Time in circle: 0
Time used: 58.980000019073486, Time in circle: 0
Time used: 59.61999988555908, Time in circle: 0
Time used: 60.24000000953674, Time in circle: 0
Time used: 60.890000104904175, Time in circle: 0
Time used: 61.50999999046326, Time in circle: 0
Time used: 62.12999987602234, Time in circle: 0
Time used: 62.77999997138977, Time in circle: 0
Time used: 63.4300000667572, Time in circle: 0
Time used: 64.05999994277954, Time in circle: 0
Time used: 64.69000005722046, Time in circle: 0
Time used: 65.32999992370605, Time in circle: 0
Time used: 66.00999999046326, Time in circle: 0
Time used: 66.64000010490417, Time in circle: 0
Time used: 67.27999997138977, Time in circle: 0
Time used: 67.90000009536743, Time in circle: 0
Time used: 68.53999996185303, Time in circle: 0
Time used: 69.14000010490417, Time in circle: 0
Time used: 69.77999997138977, Time in circle: 0
Time used: 70.40000009536743, Time in circle: 0
Time used: 71.03999996185303, Time in circle: 0
Time used: 71.71000003814697, Time in circle: 0
Time used: 72.32999992370605, Time in circle: 0
Time used: 72.96000003814697, Time in circle: 0
Time used: 73.62999987602234, Time in circle: 0
Time used: 74.26999998092651, Time in circle: 0
Time used: 74.95000004768372, Time in circle: 0
Time used: 75.62999987602234, Time in circle: 0
Time used: 76.3199999332428, Time in circle: 0
Time used: 76.95000004768372, Time in circle: 0
Time used: 77.57999992370605, Time in circle: 0
Time used: 78.26999998092651, Time in circle: 0
Time used: 78.92000007629395, Time in circle: 0
Time used: 79.52999997138977, Time in circle: 0
Time used: 80.1800000667572, Time in circle: 0
Time used: 80.79999995231628, Time in circle: 0
Time used: 81.44000005722046, Time in circle: 0
Time used: 82.07999992370605, Time in circle: 0
Time used: 82.71000003814697, Time in circle: 0
Time used: 83.34999990463257, Time in circle: 0
Time used: 84.0, Time in circle: 0
Time used: 84.62999987602234, Time in circle: 0
Time used: 85.26999998092651, Time in circle: 0
Time used: 85.91000008583069, Time in circle: 0
Time used: 86.53999996185303, Time in circle: 0
Time used: 87.1800000667572, Time in circle: 0
Time used: 87.8199999332428, Time in circle: 0
Time used: 88.44000005722046, Time in circle: 0
Time used: 89.08999991416931, Time in circle: 0
Time used: 89.73000001907349, Time in circle: 0
Time used: 90.34999990463257, Time in circle: 0
Time used: 90.98000001907349, Time in circle: 0
Time used: 91.64000010490417, Time in circle: 0
Time used: 92.27999997138977, Time in circle: 0
Time used: 92.91000008583069, Time in circle: 0
Time used: 93.54999995231628, Time in circle: 0
Time used: 94.20000004768372, Time in circle: 0
Time used: 94.83999991416931, Time in circle: 0
Time used: 95.49000000953674, Time in circle: 0
Time used: 96.11999988555908, Time in circle: 0
Time used: 96.75, Time in circle: 0
Time used: 97.35999989509583, Time in circle: 0
Time used: 98.00999999046326, Time in circle: 0
Time used: 98.61999988555908, Time in circle: 0
Time used: 99.25, Time in circle: 0
Time used: 99.87999987602234, Time in circle: 0
Time used: 100.5, Time in circle: 0
Time used: 101.14000010490417, Time in circle: 0
Time used: 101.75999999046326, Time in circle: 0
Time used: 102.37999987602234, Time in circle: 0
Time used: 103.04999995231628, Time in circle: 0
Time used: 103.67000007629395, Time in circle: 0
Time used: 104.29999995231628, Time in circle: 0
Time used: 104.92000007629395, Time in circle: 0
Time used: 105.55999994277954, Time in circle: 0
Time used: 106.20000004768372, Time in circle: 0
Time used: 106.85999989509583, Time in circle: 0
Time used: 107.51999998092651, Time in circle: 0
Time used: 108.14000010490417, Time in circle: 0
Time used: 108.75999999046326, Time in circle: 0
Time used: 109.42000007629395, Time in circle: 0
Time used: 110.07999992370605, Time in circle: 0
Time used: 110.71000003814697, Time in circle: 0
Time used: 111.34999990463257, Time in circle: 0
Time used: 112.0, Time in circle: 0
Time used: 112.62999987602234, Time in circle: 0
Time used: 113.27999997138977, Time in circle: 0
Time used: 113.94000005722046, Time in circle: 0
Time used: 114.64000010490417, Time in circle: 0
Time used: 115.28999996185303, Time in circle: 0
Time used: 115.91000008583069, Time in circle: 0
Time used: 116.5699999332428, Time in circle: 0
Time used: 117.19000005722046, Time in circle: 0
Time used: 117.8199999332428, Time in circle: 0
Time used: 118.48000001907349, Time in circle: 0
Time used: 119.17000007629395, Time in circle: 0
Time used: 119.84999990463257, Time in circle: 0
Time used: 120.48000001907349, Time in circle: 0
Time used: 121.12999987602234, Time in circle: 0
Time used: 121.76999998092651, Time in circle: 0
