Time used: 24.609999895095825, Time in circle: 0
Time used: 25.25, Time in circle: 0
Time used: 25.91000008583069, Time in circle: 0
Time used: 26.539999961853027, Time in circle: 0
Time used: 27.16000008583069, Time in circle: 0
Time used: 27.77999997138977, Time in circle: 0
Time used: 28.41000008583069, Time in circle: 0
Time used: 29.02999997138977, Time in circle: 0
Time used: 29.65000009536743, Time in circle: 0
Time used: 30.319999933242798, Time in circle: 0
Time used: 30.94000005722046, Time in circle: 0
Time used: 31.55999994277954, Time in circle: 0
Time used: 32.21000003814697, Time in circle: 0
Time used: 32.859999895095825, Time in circle: 0
Time used: 33.480000019073486, Time in circle: 0
Time used: 34.12999987602234, Time in circle: 0
Time used: 34.769999980926514, Time in circle: 0
Time used: 35.41000008583069, Time in circle: 0
Time used: 36.049999952316284, Time in circle: 0
Time used: 36.72000002861023, Time in circle: 0
Time used: 37.34999990463257, Time in circle: 0
Time used: 37.980000019073486, Time in circle: 0
Time used: 38.62999987602234, Time in circle: 0
Time used: 39.28999996185303, Time in circle: 0
Time used: 39.920000076293945, Time in circle: 0
Time used: 40.53999996185303, Time in circle: 0
Time used: 41.19000005722046, Time in circle: 0
Time used: 41.77999997138977, Time in circle: 0
Time used: 42.420000076293945, Time in circle: 0
Time used: 43.05999994277954, Time in circle: 0
Time used: 43.670000076293945, Time in circle: 0
Time used: 44.299999952316284, Time in circle: 0
Time used: 44.94000005722046, Time in circle: 0
Time used: 45.5699999332428, Time in circle: 0
Time used: 46.19000005722046, Time in circle: 0
Time used: 46.83999991416931, Time in circle: 0
Time used: 47.450000047683716, Time in circle: 0
Time used: 48.08999991416931, Time in circle: 0
Time used: 48.75, Time in circle: 0
Time used: 49.36999988555908, Time in circle: 0
Time used: 50.019999980926514, Time in circle: 0
Time used: 50.62999987602234, Time in circle: 0
Time used: 51.28999996185303, Time in circle: 0
Time used: 51.94000005722046, Time in circle: 0
Time used: 52.55999994277954, Time in circle: 0
Time used: 53.19000005722046, Time in circle: 0
Time used: 53.829999923706055, Time in circle: 0
Time used: 54.46000003814697, Time in circle: 0
Time used: 55.09999990463257, Time in circle: 0
Time used: 55.75, Time in circle: 0
Time used: 56.41000008583069, Time in circle: 0
Time used: 57.049999952316284, Time in circle: 0
Time used: 57.71000003814697, Time in circle: 0
Time used: 58.329999923706055, Time in circle: 0
Time used: 58.980000019073486, Time in circle: 0
Time used: 59.61999988555908, Time in circle: 0
Time used: 60.24000000953674, Time in circle: 0
Time used: 60.890000104904175, Time in circle: 0
Time used: 61.5, Time in circle: 0
Time used: 62.12999987602234, Time in circle: 0
Time used: 62.769999980926514, Time in circle: 0
Time used: 63.4300000667572, Time in circle: 0
Time used: 64.05999994277954, Time in circle: 0
Time used: 64.69000005722046, Time in circle: 0
